sample_idx,reconstruction_idx,fc1_min_abs_diff,fc1_mean_abs_diff,fc1_max_abs_diff,fc2_min_abs_diff,fc2_mean_abs_diff,fc2_max_abs_diff,fc3_min_abs_diff,fc3_mean_abs_diff,fc3_max_abs_diff,all_layers_max_diff,all_layers_min_of_max
22,1,0.000665321946144104,0.1767812818288803,0.412641704082489,0.004584372043609619,0.0950813814997673,0.2748425006866455,0.03715839982032776,0.04049822688102722,0.04712951183319092,0.412641704082489,0.04712951183319092
22,2,0.024235934019088745,0.49972760677337646,1.3499226570129395,0.004525989294052124,0.23013600707054138,0.6990588903427124,0.11269330978393555,0.1581428498029709,0.21657922863960266,1.3499226570129395,0.21657922863960266
22,3,0.012970447540283203,0.2011815458536148,0.5243023633956909,0.010048389434814453,0.10835040360689163,0.34169864654541016,1.430511474609375e-06,2.1557013951678528e-06,2.9206275939941406e-06,0.5243023633956909,2.9206275939941406e-06
22,4,0.014738082885742188,0.6384994387626648,2.5650901794433594,0.000270843505859375,0.21932198107242584,0.5739214420318604,0.01562941074371338,0.02599482797086239,0.0454401969909668,2.5650901794433594,0.0454401969909668
23,0,0.007668495178222656,0.2460862398147583,0.5256854295730591,0.009200096130371094,0.14593294262886047,0.374244749546051,0.0018242597579956055,0.08245233446359634,0.17143630981445312,0.5256854295730591,0.17143630981445312
23,1,0.006738185882568359,0.3027377724647522,0.839847207069397,0.0032666921615600586,0.1264287829399109,0.44709205627441406,0.011585235595703125,0.030237555503845215,0.046349167823791504,0.839847207069397,0.046349167823791504
23,2,0.0015916824340820312,0.3190319836139679,1.0026189088821411,0.003589421510696411,0.15675461292266846,0.37667399644851685,0.002826213836669922,0.010721723549067974,0.016582608222961426,1.0026189088821411,0.016582608222961426
23,3,0.006197690963745117,0.3859507143497467,1.0792394876480103,0.0006730556488037109,0.12756666541099548,0.45811551809310913,0.01370692253112793,0.01462515164166689,0.01625680923461914,1.0792394876480103,0.01625680923461914
23,4,0.0011998414993286133,0.566088080406189,1.584462285041809,0.0040833353996276855,0.2318694144487381,1.0160765647888184,0.008626937866210938,0.02163473702967167,0.04583382606506348,1.584462285041809,0.04583382606506348
24,0,0.008941411972045898,0.19880805909633636,0.5372568368911743,0.004214644432067871,0.11237344145774841,0.34099841117858887,0.011879920959472656,0.04617421701550484,0.10973313450813293,0.5372568368911743,0.10973313450813293
24,1,0.02137380838394165,0.6445275545120239,2.063242197036743,0.018500149250030518,0.3186694085597992,0.9822204113006592,0.11938714981079102,0.3591742515563965,0.5451827049255371,2.063242197036743,0.5451827049255371
24,2,0.001000523567199707,0.4506819546222687,1.4548895359039307,0.004359245300292969,0.21518050134181976,0.5960574746131897,0.040567874908447266,0.05698855593800545,0.06566262245178223,1.4548895359039307,0.06566262245178223
24,3,0.06464570760726929,0.9421496391296387,2.238827705383301,0.016861438751220703,0.4055212736129761,1.0626825094223022,0.022444725036621094,0.04022614285349846,0.060404300689697266,2.238827705383301,0.060404300689697266
24,4,0.013869524002075195,0.32884305715560913,1.3094258308410645,0.00026616454124450684,0.13726118206977844,0.47814279794692993,0.017299652099609375,0.028198450803756714,0.03489398956298828,1.3094258308410645,0.03489398956298828
25,0,0.0003260374069213867,0.02149703912436962,0.054444313049316406,0.00017392635345458984,0.011881699785590172,0.03518414497375488,0.010206341743469238,0.01380749512463808,0.01886308193206787,0.054444313049316406,0.01886308193206787
25,1,0.007573172450065613,0.7444298267364502,1.654626488685608,0.007410615682601929,0.4598988890647888,1.268877387046814,0.044972896575927734,0.20081090927124023,0.4182547330856323,1.654626488685608,0.4182547330856323
25,2,0.008318603038787842,0.30925843119621277,0.8387664556503296,0.008189558982849121,0.1305692493915558,0.34376639127731323,0.028464913368225098,0.03740103915333748,0.051532626152038574,0.8387664556503296,0.051532626152038574
25,3,0.00042554736137390137,0.26674601435661316,1.0026466846466064,0.005524255335330963,0.15838880836963654,0.3765881657600403,0.04014003276824951,0.0583823136985302,0.088950514793396,1.0026466846466064,0.088950514793396
25,4,0.0005562901496887207,0.45664459466934204,1.182716727256775,0.011602222919464111,0.19803549349308014,0.5081123113632202,0.07125580310821533,0.09639624506235123,0.13436079025268555,1.182716727256775,0.13436079025268555
26,0,0.015200376510620117,0.2414046823978424,0.6897027492523193,0.010959327220916748,0.12600956857204437,0.3695671558380127,0.09839224815368652,0.1519039124250412,0.2072913646697998,0.6897027492523193,0.2072913646697998
